,unit,dispatched,arrived,in_service,is_in_charge,incident_number
0,E5,09:22,09:27,09:48,True,F260019786
1,E2,09:20,09:24,09:36,True,F260019784
2,E35,09:17,09:21,09:41,False,F260019783
3,M18,09:17,,09:25,True,F260019783
4,L10,09:14,09:14,09:23,True,F260019781
5,E30,09:09,09:13,09:28,True,F260019780
6,B4,09:09,,09:14,False,F260019779
7,E18,09:09,09:12,09:14,True,F260019779
8,E9,09:09,,09:15,False,F260019779
9,L8,09:09,,09:15,False,F260019779
10,E32,09:05,09:05,09:12,True,F260019777
11,E25,08:55,09:00,09:19,True,F260019772
12,L10,09:03,,09:08,False,F260019772
13,E8,08:55,08:57,09:11,True,F260019771
14,E38,08:42,08:46,09:05,True,F260019768
15,R1,08:39,08:52,08:53,True,F260019766
16,E8,08:37,08:46,08:51,True,F260019764
17,E33,08:37,08:40,08:52,True,F260019763
18,E40,08:32,08:38,08:43,True,F260019761
19,E28,08:33,08:38,08:56,True,F260019759
20,A25,08:27,08:30,08:55,True,F260019756
21,E25,08:26,,08:27,False,F260019756
22,E17,08:12,08:16,08:21,True,F260019754
23,E18,08:13,08:17,08:19,False,F260019753
24,E21,08:11,,08:13,True,F260019753
25,A14,08:07,08:12,08:28,False,F260019752
26,M32,08:07,,08:16,True,F260019752
27,A5,07:59,08:07,08:33,True,F260019751
28,E5,07:56,08:00,08:27,True,F260019750
29,E33,07:54,07:58,08:33,True,F260019749
30,M28,07:56,,08:03,False,F260019749
31,M28,08:10,08:12,09:34,False,F260019749
32,E6,07:52,07:57,07:58,True,F260019748
33,A10,10:07,10:07,10:15,False,F260019747
34,A5,09:24,09:24,,False,F260019747
35,B77,09:00,09:00,,False,F260019747
36,E95,08:23,08:23,,False,F260019747
37,EVENT11,07:49,07:49,,True,F260019747
38,E8,07:49,07:53,08:05,True,F260019746
39,A2,08:01,08:07,,False,F260019745
40,E90,08:17,08:17,,False,F260019745
41,EVENT13,07:48,07:48,,True,F260019745
42,E26,07:47,07:52,08:02,True,F260019744
43,SQ14,07:44,07:44,,True,V260019742
44,EVENT10,07:29,07:29,,True,F260019740
45,HAZ80,07:34,07:34,,False,F260019740
46,A5,07:17,07:26,07:41,True,F260019737
47,L1,07:17,07:23,07:36,True,F260019736
48,E33,07:11,07:16,07:34,True,F260019734
49,EVENT12,07:12,07:12,,True,F260019735
50,LUMEN-CMD,08:14,08:14,,False,F260019735
51,E38,07:07,07:12,07:35,True,F260019733
52,E10,06:41,06:44,06:52,True,F260019728
53,L1,06:41,06:44,06:53,False,F260019728
54,A2,06:38,,06:41,True,F260019727
55,E25,06:32,06:35,06:46,False,F260019725
56,L10,06:32,06:35,06:36,False,F260019725
57,M1,06:33,06:34,07:00,False,F260019725
58,M17,06:32,,06:33,True,F260019725
59,E10,06:09,06:16,06:17,True,F260019720
60,A25,06:05,06:09,06:35,True,F260019719
61,E6,06:02,06:03,06:39,True,F260019717
62,A2,05:54,06:13,06:14,True,F260019716
63,M17,05:55,,06:01,False,F260019716
64,E6,05:51,05:55,05:58,True,F260019714
65,E10,05:50,05:52,05:53,True,F260019713
66,E5,05:51,05:55,06:12,True,F260019712
67,L4,05:46,05:51,06:05,True,F260019710
68,E13,05:32,05:35,05:51,False,F260019708
69,M28,05:32,,05:41,True,F260019708
70,E24,05:30,05:33,05:54,True,F260019707
71,E25,05:17,05:20,05:32,True,F260019705
72,E2,05:19,05:25,05:51,True,F260019706
73,M1,05:19,05:29,06:32,False,F260019706
74,A10,05:19,05:23,05:43,True,F260019703
75,A2,05:03,05:08,05:50,True,F260019702
76,M10,05:15,05:24,05:57,False,F260019702
77,E24,04:57,05:01,05:16,True,F260019700
78,A25,04:48,04:51,04:53,True,F260019698
79,E24,04:30,04:34,04:46,True,F260019696
80,L5,04:30,,04:36,False,F260019696
81,A5,04:26,04:31,04:57,True,F260019694
82,A10,04:00,04:03,04:13,True,F260019692
83,A25,03:51,03:57,04:03,True,F260019690
84,A5,03:20,03:24,03:40,True,F260019687
85,E28,03:21,03:27,03:41,True,F260019686
