unit,number_of_incidents,leadership_rate,average_time_in_transit,total_time_in_transit,average_time_on_site,total_time_on_site,average_time_assigned,total_time_assigned
A10,460,0.7913043478260869,4.238663484486874,1776,21.4066985645933,8948,23.71459694989107,10885
A14,109,0.6880733944954128,6.163636363636364,339,18.72727272727273,1030,14.92660550458716,1627
A17,28,0.8214285714285714,5.72,143,18.88,472,22.5,630
A2,486,0.7716049382716049,4.706730769230769,1958,17.59518072289157,7302,19.52371134020619,9469
A22,3,1.0,6.0,18,31.0,93,37.0,111
A25,483,0.7867494824016563,4.8165548098434,2153,18.95525727069351,8473,22.39544513457557,10817
A26,2,1.0,5.0,5,,0,1.0,1
A31,153,0.7450980392156863,5.577464788732394,792,20.62676056338028,2929,24.63398692810458,3769
A4,305,0.7508196721311475,4.44,1221,19.33818181818182,5318,21.72131147540984,6625
A5,461,0.7722342733188721,4.949029126213592,2039,19.04866180048662,7829,22.05434782608696,10145
A7,49,0.8367346938775511,6.422222222222222,289,22.88888888888889,1030,27.22448979591837,1334
AIR1,1,0.0,,0,,0,5.0,5
AIR10,34,0.0,17.41666666666667,209,53.25,639,68.67647058823529,2335
AIR26,1,0.0,,0,,0,6.0,6
B2,94,0.01063829787234043,6.338983050847458,374,41.61016949152543,2455,32.27659574468085,3034
B4,44,0.02272727272727273,8.727272727272727,192,34.54545454545455,760,24.70454545454545,1087
B5,67,0.0,7.804878048780488,320,15.70731707317073,644,16.85074626865672,1129
B6,61,0.01639344262295082,7.822222222222222,352,20.6,927,22.60655737704918,1379
B7,34,0.02941176470588235,6.478260869565218,149,25.21739130434782,580,23.14705882352941,787
B77,1,0.0,0.0,0,,0,,0
CHAP5,9,0.0,104.5,209,1351.0,1351,195.75,1566
CHAP6,1,0.0,,0,,0,62.0,62
CHAP7,1,0.0,,0,,0,159.0,159
DECON1,8,0.0,15.0,15,49.0,49,20.75,166
DEP1,34,0.0,8.625,138,25.6875,411,20.47058823529412,696
E10,327,0.7522935779816514,4.384057971014493,1210,19.08727272727273,5249,20.36503067484663,6639
E11,137,0.8394160583941606,5.350746268656716,717,16.93283582089552,2269,21.93430656934306,3005
E13,223,0.7713004484304933,5.306930693069307,1072,15.99009900990099,3230,19.72645739910314,4399
E16,178,0.7808988764044944,4.993548387096774,774,20.29677419354839,3146,22.87078651685393,4071
E17,345,0.8463768115942029,4.564102564102564,1424,16.08333333333333,5018,18.92753623188406,6530
E18,265,0.8075471698113208,4.298755186721992,1036,16.97083333333333,4073,19.57954545454545,5169
E2,385,0.7610389610389611,4.716867469879518,1566,13.76506024096386,4570,16.34545454545454,6293
E20,116,0.8189655172413793,4.801980198019802,485,20.47524752475248,2068,22.55172413793104,2616
E21,167,0.7844311377245509,4.414965986394558,649,16.78082191780822,2450,19.15151515151515,3160
E22,87,0.7241379310344828,6.105263157894737,464,20.07894736842105,1526,23.45977011494253,2041
E24,293,0.8191126279863481,4.523297491039426,1262,19.68817204301075,5493,23.22866894197952,6806
E25,374,0.7727272727272727,4.358730158730158,1373,16.86666666666667,5313,18.24598930481283,6824
E26,75,0.7866666666666666,4.82089552238806,323,20.17910447761194,1352,22.97333333333333,1723
E27,104,0.6057692307692307,5.494252873563219,478,20.24137931034483,1761,22.55769230769231,2346
E28,307,0.8078175895765473,4.589473684210526,1308,19.35087719298246,5515,22.39413680781759,6875
E29,129,0.813953488372093,5.411764705882353,644,23.09322033898305,2725,26.671875,3414
E30,285,0.8035087719298246,4.0,1052,19.52851711026616,5136,22.17894736842105,6321
E31,270,0.7777777777777778,4.970588235294118,1183,17.64705882352941,4200,20.35925925925926,5497
E32,192,0.78125,4.780346820809249,827,19.57803468208093,3387,22.25520833333333,4273
E33,196,0.8367346938775511,4.211956521739131,775,18.60326086956522,3423,21.71938775510204,4257
E34,111,0.8288288288288288,4.793814432989691,465,18.55208333333333,1781,20.61818181818182,2268
E35,157,0.802547770700637,5.155555555555556,696,20.83703703703704,2813,23.0,3611
E36,104,0.6730769230769231,6.27906976744186,540,22.75581395348837,1957,24.89423076923077,2589
E37,202,0.806930693069307,5.26775956284153,964,19.69060773480663,3564,22.875,4575
E38,188,0.824468085106383,5.0625,891,20.57386363636364,3621,24.30851063829787,4570
E39,220,0.8727272727272727,5.371428571428571,1128,20.47619047619047,4300,25.05454545454545,5512
E40,146,0.7534246575342466,5.1171875,655,20.0625,2568,22.6551724137931,3285
E41,75,0.8933333333333333,5.410958904109589,395,21.16666666666667,1524,25.81081081081081,1910
E5,261,0.7241379310344828,4.645739910313901,1036,17.77130044843049,3963,19.77777777777778,5162
E6,321,0.7757009345794392,4.11437908496732,1259,17.5718954248366,5377,20.96573208722742,6730
E8,177,0.847457627118644,5.221518987341772,825,17.01273885350318,2671,20.34090909090909,3580
E9,199,0.7788944723618091,4.681564245810056,838,18.70391061452514,3348,21.41708542713568,4262
E90,1,0.0,0.0,0,,0,,0
E95,1,0.0,0.0,0,,0,,0
EVENT1,1,1.0,0.0,0,,0,,0
EVENT10,1,1.0,0.0,0,,0,,0
EVENT11,3,1.0,0.0,0,,0,,0
EVENT12,13,0.8461538461538461,0.3846153846153846,5,4.0,4,4.0,4
EVENT13,14,0.7857142857142857,0.0,0,,0,,0
EVENT14,9,0.8888888888888888,0.0,0,204.6,1023,204.6,1023
EVENT15,1,1.0,0.0,0,,0,,0
EVENT2,1,1.0,1.0,1,,0,,0
EVENT3,1,1.0,0.0,0,,0,,0
EVENT4,1,1.0,0.0,0,,0,,0
EVENT5,1,1.0,0.0,0,,0,,0
EVENT6,1,1.0,0.0,0,,0,,0
FAC,5,0.6,0.0,0,3.0,3,1.4,7
FAC1,8,0.75,0.0,0,11.0,11,5.0,40
FB1,6,0.1666666666666667,13.66666666666667,41,32.66666666666666,98,26.33333333333333,158
FB3,3,0.0,49.0,49,39.0,39,32.33333333333334,97
FB4,1,0.0,0.0,0,101.0,101,101.0,101
FIREBOAT,18,0.1666666666666667,0.0,0,11.0,33,6.277777777777778,113
H1,88,0.7840909090909091,13.25,1060,31.6,2528,41.94318181818182,3691
H11,2,0.0,28.0,28,1.0,1,37.0,74
H2,41,0.8536585365853658,12.08108108108108,447,42.86486486486486,1586,63.19512195121951,2591
H98,37,0.7297297297297297,7.666666666666667,230,33.36666666666667,1001,33.86486486486486,1253
H99,91,0.04395604395604396,6.376623376623376,491,22.61038961038961,1741,25.0,2275
HAZ1,8,0.0,12.8,64,63.0,252,46.0,322
HAZ80,2,0.0,0.0,0,,0,,0
HUSKY-EMS,4,0.0,0.0,0,206.3333333333333,619,206.3333333333333,619
L1,235,0.3106382978723404,5.219251336898396,976,15.52150537634409,2887,17.30769230769231,4050
L10,250,0.312,4.680628272251309,894,21.74736842105263,4132,21.06425702811245,5245
L11,98,0.4183673469387755,5.618421052631579,427,24.22368421052632,1841,24.05102040816326,2357
L12,159,0.4716981132075472,5.590163934426229,682,15.95901639344262,1947,17.33962264150943,2757
L13,96,0.5833333333333334,5.736111111111111,413,20.49295774647887,1455,20.8,1976
